hcpcs_code,modifier,status_code,work_rvu,non_facility_pe_rvu,facility_pe_rvu,malpractice_rvu,total_non_facility,total_facility,conversion_factor,rate_non_facility,rate_facility
24138,,A,8.29,9.74,9.74,1.76,19.79,19.79,33.4009,661.0,661.0
24140,,A,9.31,8.42,8.42,1.91,19.64,19.64,33.4009,655.99,655.99
24145,,A,7.61,7.71,7.71,1.63,16.95,16.95,33.4009,566.15,566.15
24147,,A,7.64,8.69,8.69,1.53,17.86,17.86,33.4009,596.54,596.54
24149,,A,15.81,13.65,13.65,3.18,32.64,32.64,33.4009,1090.21,1090.21
24150,,A,22.87,14.09,14.09,4.87,41.83,41.83,33.4009,1397.16,1397.16
24152,,A,19.49,13.01,13.01,4.15,36.65,36.65,33.4009,1224.14,1224.14
24155,,A,11.79,9.39,9.39,2.51,23.69,23.69,33.4009,791.27,791.27
24160,,A,18.16,12.34,12.34,3.88,34.38,34.38,33.4009,1148.32,1148.32
24164,,A,9.75,8.6,8.6,2.08,20.43,20.43,33.4009,682.38,682.38
24200,,A,1.76,5.16,2.17,0.36,7.28,4.29,33.4009,243.16,143.29
24201,,A,4.58,14.41,6.18,0.99,19.98,11.75,33.4009,667.35,392.46
24220,,A,1.28,4.17,0.27,0.13,5.58,1.68,33.4009,186.38,56.11
24300,,A,3.94,8.66,8.66,0.76,13.36,13.36,33.4009,446.24,446.24
24301,,A,10.12,8.75,8.75,2.11,20.98,20.98,33.4009,700.75,700.75
24305,,A,7.43,7.35,7.35,1.41,16.19,16.19,33.4009,540.76,540.76
24310,,A,5.97,6.12,6.12,1.15,13.24,13.24,33.4009,442.23,442.23
24320,,A,10.59,9.0,9.0,2.25,21.84,21.84,33.4009,729.48,729.48
24330,,A,9.55,8.68,8.68,2.04,20.27,20.27,33.4009,677.04,677.04
24331,,A,10.68,9.03,9.03,2.27,21.98,21.98,33.4009,734.15,734.15
24332,,A,7.71,8.31,8.31,1.64,17.66,17.66,33.4009,589.86,589.86
24340,,A,7.88,7.97,7.97,1.62,17.47,17.47,33.4009,583.51,583.51
24341,,A,9.25,10.12,10.12,1.83,21.2,21.2,33.4009,708.1,708.1
24342,,A,10.59,8.74,8.74,2.11,21.44,21.44,33.4009,716.12,716.12
24343,,A,8.93,9.55,9.55,1.78,20.26,20.26,33.4009,676.7,676.7
24344,,A,14.83,12.86,12.86,3.16,30.85,30.85,33.4009,1030.42,1030.42
24345,,A,8.93,9.45,9.45,1.82,20.2,20.2,33.4009,674.7,674.7
24346,,A,14.83,12.86,12.86,3.16,30.85,30.85,33.4009,1030.42,1030.42
24357,,A,5.3,5.59,5.59,0.62,11.51,11.51,33.4009,384.44,384.44
24358,,A,6.49,7.2,7.2,1.28,14.97,14.97,33.4009,500.01,500.01
24359,,A,8.76,7.97,7.97,1.74,18.47,18.47,33.4009,616.91,616.91
24360,,A,12.35,10.11,10.11,2.62,25.08,25.08,33.4009,837.69,837.69
24361,,A,14.05,10.81,10.81,3.0,27.86,27.86,33.4009,930.55,930.55
24362,,A,14.94,11.1,11.1,3.18,29.22,29.22,33.4009,975.97,975.97
24363,,A,21.45,13.16,13.16,4.33,38.94,38.94,33.4009,1300.63,1300.63
24365,,A,8.4,7.95,7.95,1.78,18.13,18.13,33.4009,605.56,605.56
24366,,A,9.13,8.04,8.04,1.85,19.02,19.02,33.4009,635.29,635.29
24370,,A,22.96,13.65,13.65,4.61,41.22,41.22,33.4009,1376.79,1376.79
24371,,A,26.81,14.88,14.88,5.36,47.05,47.05,33.4009,1571.51,1571.51
24400,,A,11.05,9.81,9.81,2.34,23.2,23.2,33.4009,774.9,774.9
24410,,A,14.73,11.39,11.39,3.13,29.25,29.25,33.4009,976.98,976.98
24420,,A,13.39,13.75,13.75,2.85,29.99,29.99,33.4009,1001.69,1001.69
24430,,A,14.87,11.1,11.1,3.06,29.03,29.03,33.4009,969.63,969.63
